s_code,s_name,d_name,c_name,enroll12,num_tst_takr12,pct_tst_takr
126763.0,Decoto School for Independent Study,New Haven Unified,Alameda,52.0,1.0,0.019230769230769232
3130200.0,Victory High,Rocklin Unified,Placer,51.0,1.0,0.0196078431372549
2730125.0,North Monterey County Center for Independent Study,North Monterey County Unified,Monterey,50.0,1.0,0.02
3730231.0,Twain High,San Diego Unified,San Diego,196.0,4.0,0.02040816326530612
3630365.0,Chaparral High,Snowline Joint Unified,San Bernardino,98.0,2.0,0.02040816326530612
3030384.0,Polaris High (Alternative),Anaheim Union High,Orange,49.0,1.0,0.02040816326530612
4330312.0,Phoenix High,East Side Union High,Santa Clara,46.0,1.0,0.021739130434782608
3330974.0,Banning Independent Study,Banning Unified,Riverside,91.0,2.0,0.02197802197802198
135145.0,Compass Charter Schools of Los Angeles,Acton-Agua Dulce Unified,Los Angeles,45.0,1.0,0.022222222222222223
1030840.0,Carter G. Woodson Public Charter,Fresno Unified,Fresno,135.0,3.0,0.022222222222222223
3330362.0,Summit View Independent Study,Riverside Unified,Riverside,132.0,3.0,0.022727272727272728
1930577.0,Pueblo de Los Angeles Continuation,Los Angeles Unified,Los Angeles,44.0,1.0,0.022727272727272728
4930327.0,Laguna High,West Sonoma County Union High,Sonoma,44.0,1.0,0.022727272727272728
1931534.0,Will Rogers Continuation,Los Angeles Unified,Los Angeles,83.0,2.0,0.024096385542168676
137281.0,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Elk Grove Unified,Sacramento,82.0,2.0,0.024390243902439025
137661.0,California Virtual Academy at Fresno,Orange Center,Fresno,40.0,1.0,0.025
2730240.0,Learning for Life Charter,Monterey Peninsula Unified,Monterey,40.0,1.0,0.025
4830022.0,Travis Education Center,Travis Unified,Solano,40.0,1.0,0.025
127100.0,Assurance Learning Academy,Acton-Agua Dulce Unified,Los Angeles,439.0,11.0,0.025056947608200455
2730232.0,Monterey County Home Charter,Monterey County Office of Education,Monterey,79.0,2.0,0.02531645569620253
6112254.0,Elk Grove Charter,Elk Grove Unified,Sacramento,79.0,2.0,0.02531645569620253
3630308.0,San Andreas High,San Bernardino City Unified,San Bernardino,273.0,7.0,0.02564102564102564
117440.0,CIS Academy,Pasadena Unified,Los Angeles,115.0,3.0,0.02608695652173913
3331121.0,Mt. San Jacinto High,Palm Springs Unified,Riverside,153.0,4.0,0.026143790849673203
118653.0,Ralph J. Bunche High,Oakland Unified,Alameda,76.0,2.0,0.02631578947368421
4330502.0,Liberty High (Alternative),San Jose Unified,Santa Clara,190.0,5.0,0.02631578947368421
1030378.0,Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,38.0,1.0,0.02631578947368421
114264.0,North County Trade Tech High,Vista Unified,San Diego,38.0,1.0,0.02631578947368421
136556.0,Kings Valley Academy II,Kit Carson Union Elementary,Kings,75.0,2.0,0.02666666666666667
3131687.0,Confluence Continuation High,Placer Union High,Placer,37.0,1.0,0.02702702702702703
3430519.0,Capital City Independent Study,Sacramento City Unified,Sacramento,147.0,4.0,0.027210884353741496
3430451.0,McClellan High (Continuation),Center Joint Unified,Sacramento,36.0,1.0,0.027777777777777776
102764.0,Richard A. Alonzo Community Day,Los Angeles Unified,Los Angeles,72.0,2.0,0.027777777777777776
3630100.0,Goodwill High,Victor Valley Union High,San Bernardino,72.0,2.0,0.027777777777777776
112714.0,Antelope Valley Learning Academy,Palmdale Elementary,Los Angeles,235.0,7.0,0.029787234042553193
125864.0,Ednovate - USC Hybrid High College Prep,Los Angeles Unified,Los Angeles,131.0,4.0,0.030534351145038167
934554.0,Independence Continuation,El Dorado Union High,El Dorado,65.0,2.0,0.03076923076923077
4838058.0,John Finney High (Continuation),Vallejo City Unified,Solano,97.0,3.0,0.030927835051546393
1931690.0,Independence Continuation,Los Angeles Unified,Los Angeles,32.0,1.0,0.03125
3030129.0,Creekside High,Irvine Unified,Orange,63.0,2.0,0.031746031746031744
127720.0,Rivercrest Preparatory,Jurupa Unified,Riverside,31.0,1.0,0.03225806451612903
123224.0,San Diego Virtual,Mountain Empire Unified,San Diego,153.0,5.0,0.032679738562091505
115170.0,School of Extended Educational Options,Pomona Unified,Los Angeles,243.0,8.0,0.03292181069958848
4030102.0,Atascadero Choices in Education Academy (ACE),Atascadero Unified,San Luis Obispo,29.0,1.0,0.034482758620689655
131573.0,Burbank Unified Independent Learning Academy (BUILA),Burbank Unified,Los Angeles,29.0,1.0,0.034482758620689655
132506.0,Inspire Charter School - South,Dehesa Elementary,San Diego,116.0,4.0,0.034482758620689655
3731395.0,Audeo Charter,San Diego Unified,San Diego,172.0,6.0,0.03488372093023256
136077.0,Grossmont Secondary,SBE - Grossmont Secondary,San Diego,113.0,4.0,0.035398230088495575
5530043.0,Theodore Bird High,Sonora Union High,Tuolumne,28.0,1.0,0.03571428571428571
1030287.0,J. E. Young Academic Center,Fresno Unified,Fresno,109.0,4.0,0.03669724770642202
132472.0,California Pacific Charter - San Diego,Warner Unified,San Diego,108.0,4.0,0.037037037037037035
137174.0,Mojave River Academy - Gold Canyon,Oro Grande,San Bernardino,27.0,1.0,0.037037037037037035
1930387.0,Central High,Los Angeles Unified,Los Angeles,104.0,4.0,0.038461538461538464
1932656.0,Culver Park High,Culver City Unified,Los Angeles,26.0,1.0,0.038461538461538464
